AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,race_type
Agiaon,195,,Bhojpur,Manoj Manzil,Communist Party Of India (Marxist-Leninist) (Liberation),259645,136829,52.7,48550,35.5,safe
Alamnagar,70,,Madhepura,Narendra Narayan Yadav,Janata Dal (United),327866,208234,63.5,28680,13.8,medium
Alauli,148,,Khagaria,Ramvriksh Sada,Rashtriya Janata Dal,237047,141583,59.7,2773,2.0,tight
Alinagar,81,,Darbhanga,Mishri Lal Yadav,Vikassheel Insaan Party ,264163,155218,58.8,3101,2.0,tight
Amarpur,159,,Banka,Jayant Raj,Janata Dal (United),287342,160399,55.8,3114,1.9,tight
Amnour,120,,Saran,Krishan Kumar Mantoo,Bharatiya Janta Party,250988,146042,58.2,3681,2.5,tight
Amour,56,,Purnia,Akhtarul Iman,All India Majlis-E-Ittehadul Muslimeen,299184,179648,60.0,52515,29.2,safe
Araria,49,,Araria,Abidur Rahman,Indian National Congress,299220,183483,61.3,47936,26.1,safe
Arrah,194,,Bhojpur,Amrendra Pratap Singh,Bharatiya Janta Party,322386,156521,48.6,3002,1.9,tight
Arwal,214,,Arwal,Maha Nand Singh,Communist Party Of India (Marxist-Leninist) (Liberation),251657,142368,56.6,19950,14.0,medium
Asthawan,171,,Nalanda,Jitendra Kumar,Janata Dal (United),281495,143006,50.8,11600,8.1,medium
Atri,233,,Gaya,Ajay Yadav,Rashtriya Janata Dal,302398,166857,55.2,7931,4.8,tight
Aurai,89,,Muzaffarpur,Ram Surat Kumar,Bharatiya Janta Party,293219,170654,58.2,47866,28.0,safe
Aurangabad,223,,Aurangabad,Anand Shankar Singh,Indian National Congress,306137,167170,54.6,2243,1.3,tight
Babubarhi,34,,Madhubani,Mina Kumari,Janata Dal (United),293976,186571,63.5,11488,6.2,medium
Bachhwara,142,,Begusarai,Surendra Mehata,Bharatiya Janta Party,286056,180247,63.0,484,0.3,tight
Bagaha,4,,Pashchim Champaran,Ram Singh,Bharatiya Janta Party,293070,178343,60.9,30020,16.8,safe
Bahadurganj,52,,Kishanganj,Mohammad Anzar Nayeemi,All India Majlis-E-Ittehadul Muslimeen,283530,167761,59.2,45215,27.0,safe
Bahadurpur,85,,Darbhanga,Madan Sahni,Janata Dal (United),290013,174138,60.0,2629,1.5,tight
Baikunthpur,99,,Gopalganj,Prem Shankar Prasad,Rashtriya Janata Dal,301011,179099,59.5,11113,6.2,medium
Baisi,57,,Purnia,Syed Ruknuddin Ahmad,All India Majlis-E-Ittehadul Muslimeen,266574,175745,65.9,16373,9.3,medium
Bajpatti,27,,Sitamarhi,Mukesh Kumar Yadav,Rashtriya Janata Dal,298302,176336,59.1,2704,1.5,tight
Bakhri,147,,Begusarai,Suryakant Paswan,Communist Party Of India,256877,161194,62.8,777,0.5,tight
Bakhtiarpur,180,,Patna,Aniruddh Kumar,Rashtriya Janata Dal,272559,167771,61.6,20672,12.3,medium
